v8-version,6,8,275,32,-node.45,0
shared-library,/home/vagrant/.nvm/versions/node/v10.14.2/bin/node,0x400000,0x2290000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f324d7a2000,0x7f324d989000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f324db93000,0x7f324dbad000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f324ddb2000,0x7f324ddc9000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f324dfca000,0x7f324e167000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7f324e368000,0x7f324e4e1000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.27.so,0x7f324e6f1000,0x7f324e6f8000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f324e8f9000,0x7f324e8fc000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f324eafd000,0x7f324eb24000,0
shared-library,[vdso],0x7ffffe2ab000,0x7ffffe2ad000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f324dba36d6,8018,0,0x0,6
tick,0xefc010,8150,0,0x0,1
code-creation,Builtin,3,9287,0x365f00b89e80,1396,RecordWrite
code-creation,Builtin,3,9473,0x365f00b8a440,32,AdaptorWithExitFrame
code-creation,Builtin,3,9627,0x365f00b8a4a0,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,9781,0x365f00b8a500,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,9896,0x365f00b8a640,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,9999,0x365f00b8a760,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,10147,0x365f00b8a8c0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,10252,0x365f00b8aa40,139,CallBoundFunction
code-creation,Builtin,3,10351,0x365f00b8ab20,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,10447,0x365f00b8abe0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,10541,0x365f00b8aca0,120,Call_ReceiverIsAny
code-creation,Builtin,3,10688,0x365f00b8ad60,1008,CallProxy
code-creation,Builtin,3,10780,0x365f00b8b1a0,81,CallVarargs
code-creation,Builtin,3,10886,0x365f00b8b240,1380,CallWithSpread
code-creation,Builtin,3,10982,0x365f00b8b800,1360,CallWithArrayLike
code-creation,Builtin,3,11079,0x365f00b8bda0,102,CallForwardVarargs
code-creation,Builtin,3,11226,0x365f00b8be60,102,CallFunctionForwardVarargs
code-creation,Builtin,3,11320,0x365f00b8bf20,26,ConstructFunction
code-creation,Builtin,3,11407,0x365f00b8bf80,139,ConstructBoundFunction
code-creation,Builtin,3,11498,0x365f00b8c060,43,ConstructedNonConstructable
code-creation,Builtin,3,11591,0x365f00b8c0e0,86,Construct
code-creation,Builtin,3,11697,0x365f00b8c180,81,ConstructVarargs
code-creation,Builtin,3,11789,0x365f00b8c220,1396,ConstructWithSpread
code-creation,Builtin,3,11888,0x365f00b8c7e0,1432,ConstructWithArrayLike
code-creation,Builtin,3,11969,0x365f00b8cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,12053,0x365f00b8cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,12139,0x365f00b8cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,12269,0x365f00b8d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,12398,0x365f00b8d1c0,721,FastNewObject
code-creation,Builtin,3,12582,0x365f00b8d4e0,355,FastNewClosure
code-creation,Builtin,3,13052,0x365f00b8d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,13844,0x365f00b8d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,14051,0x365f00b8d920,246,CreateRegExpLiteral
code-creation,Builtin,3,14150,0x365f00b8da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,14238,0x365f00b8dd40,1540,CreateShallowArrayLiteral
code-creation,Builtin,3,14331,0x365f00b8e3a0,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,14419,0x365f00b8e9c0,1004,ConstructProxy
code-creation,Builtin,3,14505,0x365f00b8ee00,122,JSEntryTrampoline
code-creation,Builtin,3,14591,0x365f00b8eec0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,14683,0x365f00b8ef80,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,14770,0x365f00b8f120,17,InterruptCheck
code-creation,Builtin,3,14854,0x365f00b8f180,17,StackCheck
code-creation,Builtin,3,14939,0x365f00b8f1e0,727,StringCharAt
code-creation,Builtin,3,15026,0x365f00b8f500,838,StringCodePointAtUTF16
code-creation,Builtin,3,15224,0x365f00b8f8a0,846,StringCodePointAtUTF32
code-creation,Builtin,3,15335,0x365f00b8fc40,592,StringEqual
code-creation,Builtin,3,15471,0x365f00b8fee0,272,StringGreaterThan
code-creation,Builtin,3,15624,0x365f00b90040,272,StringGreaterThanOrEqual
code-creation,Builtin,3,15771,0x365f00b901a0,1052,StringIndexOf
code-creation,Builtin,3,15903,0x365f00b90600,272,StringLessThan
code-creation,Builtin,3,16034,0x365f00b90760,272,StringLessThanOrEqual
code-creation,Builtin,3,16160,0x365f00b908c0,190,StringRepeat
code-creation,Builtin,3,16287,0x365f00b909c0,3006,StringSubstring
code-creation,Builtin,3,16388,0x365f00b915c0,72,OrderedHashTableHealIndex
